question,answer,category,적용대상
편입 영어 단어장은 어떤 순서로 외우면 좋나요?,"김신근T 노베/프로파일러/보카바이블 등은 표제어 위주로 반복 회독하고, 추가로 파생어는 시간 여유 있을 때 챙겨도 됩니다.",영어,문과
편입 단어장은 퀴즐렛 등 어플로 외워도 효과가 있을까요?,퀴즐렛 등 어플을 활용하면 이동/틈새시간에도 효율적으로 단어 암기가 가능하니 적극 활용하세요.,영어,공통
인강 진도와 복습 비율은 어떻게 잡으면 좋은가요?,"인강 진도는 최소 하루 2~3강, 평일엔 파트별 1강, 주말엔 2강+복습처럼 배분하세요. 복습도 반드시 병행하세요.",학습법,문과
일·알바와 병행하는데 최소 챙겨야 할 공부는 뭔가요?,"바쁜 날에도 꼭 영어 단어/인강 진도/데일리테스트 등 최소한의 공부는 챙겨야 하며, 쉬는 날은 진도와 복습을 늘리세요.",학습법,공통
공부 슬럼프·번아웃일 때 대처법이 궁금해요.,"하루 2시간씩 짧게 시작해 성취감을 쌓고, 루틴을 만들어 점차 공부 시간을 늘리세요. 일주일에 1~2일은 과감히 쉬어도 됩니다.",학습법,공통
모의고사는 꼭 응시해야 하나요?,"네, 김영 모의고사 등은 자신의 위치를 파악하고 오답 체크·실전 감각을 기르기 위해 반드시 응시해야 합니다.",시험준비,공통
모의고사 점수가 낮으면 어떻게 대처해야 하나요?,"상위권 모의고사는 난이도가 높아 점수에 집착하지 말고 오답노트, 단어/문제유형 정리 등 실전 훈련에 집중하세요.",시험준비,공통
문법/독해/논리에서 자신없는 파트는 어떻게 공부해야 하나요?,"자신 없는 파트는 인강과 문제풀이를 반복하며 개념 누적, 오답 정리, 추가 복습에 집중하세요.",영어,문과
"영어 문제풀이 순서/방법이 고민일 때, 문제 설명 듣고 바로 풀어야 할까요?","실력 쌓는 중엔 문제 풀기 전 직접 먼저 고민해보고, 이후 해설 강의를 듣고 다시 풀어보는 경험이 중요합니다.",영어,공통
학습 루틴(공부습관)은 어떻게 만들어야 하나요?,"매일 정해진 시간에 공부, 파트별 목표 설정, 열품타/플래너 등 기록 활용으로 루틴을 잡아가고, 주말엔 공부량을 늘려보세요.",학습법,공통
영어 단어/강의/데일리테스트의 권장 공부량은?,"평일엔 파트별 강의 1개, 단어 day 2개+테스트, 주말엔 강의 2개 이상+단어량을 늘려서 반복하세요.",영어,문과
"영어 단어 뜻 구분, 논리 문제 등 약점 파트는 어떻게 극복할 수 있나요?","반복적으로 약점 문제를 모아 오답 노트를 만들고, 개념 설명 강의와 기출문제 풀이로 약점을 보완하세요.",영어,문과
학원 재등록이나 추가 등록 관련 궁금증이 있을 때 어떻게 해야 하나요?,"담당 선생님에게 문자/카톡 등으로 문의하거나, 추가 등록비용 결제 및 재등록 안내에 따라 진행하면 됩니다.",커리큘럼,공통
진도 밀렸을 때 회복 방법이 궁금해요.,"하루 2~3강씩 강의 진도를 당겨서 듣고, 1~2주간은 집중적으로 공부량을 늘리며 따라잡으세요.",학습법,문과
편입 준비 장기전에서 동기부여를 유지하는 방법이 궁금해요.,"중간중간 성취감을 느낄 수 있는 작은 목표를 세우고, 합격 후 캠퍼스 생활 등 구체적인 목표를 상상하며 꾸준히 루틴을 지키는 것이 중요합니다.",학습법,공통
"정병권 T패스 강좌, 전부 다 신청해야 하나요?","문법 101~301만 신청하고, 어휘 101~301은 파일로 받으면 됩니다.",커리큘럼,문과
"정병권T 교재 구매, 어떤 순서로 하면 되나요?","우선 문법 101교재, 문법 201/301 pdf, 어휘 101~301 파일 순으로 준비하세요.",커리큘럼,문과
교재 배송 전까지 공부는 어떻게 해야 하나요?,"교재 오기 전엔 단어 외우기에 집중하고, 강의 OT를 들어두면 좋습니다.",학습법,공통
mvp 단어장은 하루에 얼마씩 외우면 되나요?,하루 2챕터(또는 day 2개) 외우는 것이 기본입니다. 주말·여유시 양을 더 늘리는 것도 좋습니다.,영어,문과
"영어 단어, 한 번에 다 외워야 하나요?","첫 회독은 50%만 목표로 반복, 점차 70→80%로 늘리면 충분히 암기할 수 있습니다.",영어,공통
영어 단어 암기법에 정답이 있나요?,"어근, 연상법 등 방법보다 반복 회독이 가장 중요하며, 많이 보면 어느 순간 외워집니다.",영어,공통
"강의 진도(문법, 논리, 독해)는 어떻게 나가야 하나요?","문법/논리는 101, 201, 301 순서로, 각 과정마다 교재와 인강을 병행하며 진도를 나가면 됩니다.",커리큘럼,문과
"문법/논리/독해 강의, 언제까지 끝내야 하나요?","문법 301까지는 상반기(6월), 논리·단독·장독 101은 4~5월, 201, 301은 6월~7월까지 완료하는 것이 이상적입니다.",커리큘럼,문과
각 과목별 강의 듣는 순서와 주의점이 궁금해요.,"문법 101~301, 논리 101, 단독 101, 장독 101 순으로 교재를 배송 타이밍에 맞춰 신청하면 됩니다.",커리큘럼,문과
모의고사는 언제부터 응시하는 게 좋나요?,"단어 외우는 단계라도, 문과 학생은 김영 모의고사 등 반드시 응시해 실전 감각을 쌓는 게 좋습니다.",시험준비,문과
강의가 어렵거나 진도가 느릴 때 대처법은?,"강의는 배속 재생을 활용, 단어는 무리하게 모두 외우려 하기보다 반복 회독으로 자연스럽게 익히세요.",학습법,공통
"단어/강의 분량이 부족한지, 많은지 판단 기준은?","하루 공부량이 부족하다고 느껴지면 단어 챕터/강의 개수 늘리면 되고, 버겁다면 조절해서 자신에게 맞추면 됩니다.",학습법,공통
"어휘/독해가 특히 어렵다고 느껴지는데, 대처법은?","단어/독해는 단기간에 오르기 어렵지만 꾸준히 문제풀이, 반복 암기로 반드시 성장하니 포기하지 말고 계속 시도하세요.",영어,문과
단어/강의 루틴은 어떻게 잡는 게 좋은가요?,"평일: 강의 1~2개, 단어 day 2개. 주말: 강의·단어량 모두 20~30% 더 늘려 반복하세요.",학습법,공통
여러 단어장을 어떻게 회독·암기해야 하나요?,"mvp/정병권 단어장 101·201·301을 1회독 후, 부족한 단어장은 챕터별로 한 번 더 반복해 외우면 효과적입니다.",영어,문과
문제를 풀 때 모르는 단어가 많아도 괜찮나요?,"모르는 단어는 오답노트로 정리하고, 반복적으로 외우다 보면 문제풀이 실력이 점차 늘어납니다.",영어,공통
정병권 강사님 단어장은 얼마나 외워야 하나요?,"101, 201, 301 세 권만 마스터하면 단어는 충분합니다. 첫 회독 목표는 50% 암기, 이후 101/301을 하루에 1챕터씩 반복 학습을 추천합니다.",영어,이과
영어 단어를 외울 때 동의어나 유사어도 다 외워야 하나요?,"첫 회독은 표제어 위주로 외우고, 두 번째부터 동의어, 유사어까지 넓혀가는 방식이 좋습니다. 시험 전까지 여러 번 반복 학습이 필요합니다.",영어,공통
보카바이블과 정병권 단어장 중 뭐가 더 쉬운가요?,"보카바이블이 상대적으로 쉽고, 정병권 단어장은 더 어렵지만 시험에 더 도움이 됩니다. 두 단어장 모두 반복해서 봐야 합니다.",영어,공통
영어 단어를 매일 외워야 하나요?,"단어는 인강처럼 몰아서 하는 게 아니라, 매일 꾸준히 외워야 효과가 큽니다.",영어,공통
영어 단어 외우는 데 시간이 너무 오래 걸리는데 괜찮나요?,단어 외우기는 시간이 오래 걸리는 게 정상입니다. 꾸준히 반복해서 외우는 것이 가장 중요합니다. 힘들어도 포기하지 마세요.,영어,공통
영어 데일리 테스트에서 10개 정도 틀리는데 괜찮은가요?,"괜찮습니다. 틀린 단어를 보충해서 외우고, 꾸준히 반복하는 것이 중요합니다.",영어,공통
"영어 인강 레벨 1, 2, 3은 언제 넘어가야 하나요?","한 레벨의 교재(독해, 논리, 문법 등)를 80~90% 이상 끝냈으면 바로 다음 레벨로 넘어가시면 됩니다.",영어,공통
영어 모의고사는 어떻게 활용하면 좋은가요?,"본인 위치 파악과 문제 유형 분석이 목적입니다. 실전처럼 응시한 후, 오답 노트와 틀린 이유 분석을 반드시 병행하세요.",영어,공통
영어 점수 향상을 위해 무엇을 신경 써야 하나요?,"강의와 단어를 매일 꾸준히 챙기고, 독해·논리·문법을 골고루 신경 써야 성적이 잘 오릅니다.",영어,공통
영어 독해/논리가 너무 어렵게 느껴질 때는 어떻게 해야 하나요?,"인강을 통해 문제 접근법을 반복 학습하고, 다양한 문제를 풀면서 실전 감각을 익히는 것이 중요합니다.",영어,공통
경희대 등 편입 지원 시 토익 점수는 어떻게 준비하면 되나요?,"수학과 영어 커리큘럼을 우선 따라가고, 후반기에 단어 기반이 충분할 때 문제집으로 준비하면 700~800점 이상 받는 게 어렵지 않습니다.",시험준비,공통
인강을 들었을 때 복습은 얼마나 해야 하나요?,"인강 진도가 빠르다면 복습만 집중하는 날을 잡아도 괜찮습니다. 1:1 비율로 하거나, 1주일 정도 복습에 몰두해도 좋습니다.",학습법,공통
"학원, 학교 병행할 때 시간 배분은 어떻게 해야 하나요?","학교 일정이나 실습, 시험 기간에는 최소한의 핵심만 챙기고, 여유 있을 때 복습·진도를 보충하는 것이 효율적입니다.",학습법,공통
플래너에 어떤 식으로 공부 내용을 기록하면 좋은가요?,"어떤 단어(몇 챕터), 어떤 강의(몇 강), 복습, 문제풀이 등 구체적으로 적어야 피드백을 받기 쉽고, 본인 학습 진단에 도움이 됩니다.",학습법,공통
수학 진도가 끝나면 바로 다음 파트로 넘어가도 되나요?,"진도 나가는 것도 중요하지만, 미분·적분·선형대수 등은 반드시 복습을 마친 뒤에 다음 파트(다변수 등)로 넘어가야 합니다.",수학,이과
다변수미적분 진도는 언제 시작해야 하나요?,"3, 4월에는 선형대수 중심으로, 5월부터 다변수미적분 강의를 시작하는 것이 정규 커리큘럼에 맞는 진행입니다.",수학,이과
다변수미적분을 처음 시작하는데 주의할 점이 있나요?,"계산이 복잡할 수 있으니, 복습하면서 계산 실수를 줄이는 연습을 하고, 강의 진도를 따라가며 문제풀이를 병행하세요.",수학,이과
"선형대수 고유치, 선형사상 파트가 어려울 때는 어떻게 해야 하나요?","개념 영상, 해설 영상, 예제·심화 문제 풀이를 최대한 반복하고, 문제집을 여러 번 풀어가며 이해도를 높이는 것이 핵심입니다.",수학,이과
선형대수 문제 푸는 법을 잘 모르겠어요,"개념을 반복 복습하고, 여러 문제 풀이 방법(강사별 풀이 포함)을 비교해보며, 풀이 과정별로 자기 것으로 만드는 과정이 필요합니다.",수학,이과
수학 복습에 시간이 오래 걸려도 괜찮은가요?,수학 복습은 양이 많아서 시간이 오래 걸리는 것이 정상입니다. 꾸준하고 꼼꼼하게 복습하는 것이 오히려 실력 향상에 효과적입니다.,수학,이과
"미분, 적분, 선형대수 등 개념이 잘 안 잡힐 때 어떻게 해야 하나요?","노트 정리, 반복 회독, 직접 빈 종이에 써보는 연습, 쉬운 문제부터 다시 풀어보기를 반복하는 것이 개념 정립에 매우 효과적입니다.",수학,이과
모의고사 오답 정리는 어떻게 하나요?,"수학은 틀린 문제 파트별로 분류해서 해설 강의를 참고하고, 영어는 틀린 단어·선지를 표시한 후 왜 틀렸는지 분석해보는 습관을 들이세요.",시험준비,공통
모의고사에서 시간이 부족하고 모르는 문제가 많아요.,"실전에서 시간을 재고 여러 번 경험해 보며, 복습을 통해 개념을 다지고, 문제풀이 연습을 반복해 나가는 것이 중요합니다.",시험준비,공통
김영 모의고사는 반드시 신청해야 하나요?,"본인 위치 파악과 동기부여, 앞으로의 학습 방향 설정에 큰 도움이 되므로 반드시 신청하는 것이 좋습니다.",시험준비,공통
"수학 데일리테스트, 위클리테스트는 어떻게 활용해야 하나요?","문제를 최대한 많이 풀어보고, 복습 차원에서 틀린 문제는 반드시 다시 풀어보는 것이 실력 향상에 중요합니다.",수학,이과
수학 문제풀이가 부족한 것 같은데 어떻게 해야 할까요?,"진도에만 집중하지 말고, 데일리/위클리 테스트, 문제집 등에서 여러 문제를 반복해서 풀고, 풀었던 문제도 다시 풀어보세요.",수학,이과
계산실수를 줄이고 싶습니다.,"한 문제당 시간을 넉넉히 두고(최대 20~30분), 과정을 꼼꼼히 적어가며 풀이 연습을 하세요. 여러 번 반복하면 실수도 줄어듭니다.",수학,이과
필기노트는 어떻게 받나요?,"완성편입에서 제공하는 필기노트가 있으며, 담당 선생님께 요청하면 받을 수 있습니다. 단, 무단 배포는 금지입니다.",학습자료,공통
필기노트는 직접 만들어야 하나요?,"직접 만들 필요는 없지만, 필기노트 만드는 과정이 개념 정리에 매우 효과적이니 가급적이면 본인 손으로 정리해보는 것을 추천합니다.",학습법,공통
학교 실습·과제 등으로 공부를 못할 때 최소한으로 챙겨야 할 것은?,"시간이 부족할 땐 단어 암기, 짧은 복습, 인강 1강 등 핵심만 꼭 챙기고, 여유 있을 때 보충하는 방식이 효율적입니다.",학습법,공통
공부 시간 확보가 어려울 때 어떻게 해야 하나요?,"플래너에 시간 단위를 세분화해서 기록하고, 짧은 시간이라도 꾸준히 매일 공부하는 것이 중요합니다.",학습법,공통
복습을 할 때 어떤 방식이 가장 효과적인가요?,"개념 복습, 문제 재풀이, 오답 정리, 노트 필기 등 다양한 방법을 병행하는 것이 좋으며, 이해가 안 되는 부분은 강의를 반복 수강하세요.",학습법,공통
영단어 암기를 꾸준히 이어가는 팁이 있을까요?,"매일 일정 시간에 정해진 양을 외우고, 퀴즐렛 등 어플이나 단어장을 활용해 짧은 시간이라도 복습하는 습관이 효과적입니다.",영어,공통
"영어 단어는 어떤 교재, 어떤 방식으로 외워야 하나요?","이과 학생은 ‘보카바이블’ 단어장 표제어 위주로 1~2회독만 해도 충분합니다. 천일문 교재로 문장 내 단어도 함께 체크하며, 데일리테스트와 퀴즐렛 등 어플을 병행하면 효과적입니다.",영어,이과
이과생 영어 공부 시간은 얼마나 투자해야 하나요?,"수학 비중이 높으므로 수학:영어=6:4~7:3으로, 단어와 문법, 독해만 기본적으로 매일 최소한 챙기면 됩니다.",학습법,이과
영어 문법 기초가 약한데 어떻게 시작해야 하나요?,"‘천일문 master 500 sentences’ 교재로 문법 기초를 다진 뒤, 인강으로 문법 개념을 반복 학습하세요. 너무 완벽하려 하지 말고 주어, 동사 등 기본 틀만 잘 챙기면 충분합니다.",영어,이과
수학 진도는 어떻게 나가야 하나요?,"5월까지 유튜브(태성쌤 등)로 미적분 완강, 그 후 적분, 선형대수, 다변수미적분 순으로 커리큘럼을 따르세요. 학교 병행 시 주 2~3강, 방학엔 속도 늘리면 됩니다.",수학,이과
"학교, 아르바이트 등 병행 시 공부시간 확보는 어떻게 해야 하나요?","바쁜 날에도 수학 1강, 영어 단어 2챕터는 반드시 챙기고, 시간 날 때마다 진도와 복습을 병행해야 합니다.",학습법,공통
영어 단어 암기가 너무 힘들고 오래 걸립니다. 어떻게 해야 하나요?,"단어 암기는 완벽보다 반복이 중요합니다. 첫 회독은 50%만 외워도 되고, 여러 번 회독하면서 점차 암기량을 늘려가세요.",영어,공통
수학에서 도형(고1 개념 등)이 약한데 어떻게 보완해야 하나요?,"편입 수학에서 도형문제는 드물지만, 원·타원 방정식 등 핵심파트만 챙기면 충분합니다. 고1 도형 전체를 공부할 필요는 없습니다.",수학,이과
"진도와 복습, 어느 쪽에 더 집중해야 하나요?","진도와 복습을 병행하되, 진도가 밀리면 방학에 집중적으로 따라잡으면 됩니다. 꾸준히 계획을 지키는 것이 중요합니다.",학습법,공통
"데일리테스트, 위클리테스트 등은 어떻게 활용해야 하나요?","데일리테스트는 단어 복습용, 위클리테스트는 진도 점검·오답 정리에 활용하세요. 틀린 문제와 모르는 단어를 따로 체크해두면 효과적입니다.",시험준비,공통
"모의고사는 언제부터 응시하는 게 좋고, 어떻게 활용해야 하나요?","수학 진도가 미분·적분까지 나가면 김영 모의고사 등 응시, 문제 유형과 실전 감각 파악에 중점을 두세요. 결과보다는 오답 분석에 집중하세요.",시험준비,공통
"몸이 아프거나, 과제·시험기간 등으로 공부시간이 부족할 때 최소한 챙길 것은?","영어 단어, 수학 인강 1강만이라도 반드시 챙기고, 컨디션 회복 후 진도를 따라잡으면 됩니다.",학습법,공통
강의 선택은 어떻게 하면 좋은가요?,"여러 강사 OT(맛보기) 강의를 들어보고, 본인에게 맞는 스타일로 선택하면 됩니다. 수학은 장황수학, 영어는 김수환T 등 추천 강사도 참고하세요.",커리큘럼,이과
진도 관리가 느려질 때 동기부여/루틴 유지법이 궁금해요.,"공부 시간을 정해 매일 체크(열품타, 플래너 활용)하고, 계획을 세분화해서 소화 가능한 목표부터 실천하세요.",학습법,공통
"중간/기말시험, 아르바이트 등 일정이 많을 때 장기적으로 진도는 어떻게 관리해야 하나요?","학기 중엔 최소 진도만 챙기고, 방학 때 진도·복습을 몰아서 진행하면 됩니다. 진도 밀리더라도 포기하지 말고 끝까지 따라가면 충분합니다.",학습법,공통
편입영어 단어는 어떻게 외우는 게 좋은가요?,"쓰면서 외워도 되지만, 양이 많기 때문에 pdf 파일을 프린트해 눈으로 보고, 뜻을 가리며 외우고, 모르는 단어는 엑셀이나 노트에 영어만 적고 반복해서 뜻을 맞춰보세요. 퀴즐렛 어플(단어 카드, 게임 등) 활용도 추천합니다. 첫 회독 목표는 40% 정도만 챙기면 충분합니다.",영어,공통
영어 단어 암기 방법에 정답이 있나요?,"여러 방법이 있지만 정답은 없고, 본인에게 맞는 방법을 찾는 것이 중요합니다. 정병권T는 무조건 많이 보고 반복하라고 강조합니다.",영어,공통
"단어 암기가 힘들고, 손목이 아픈데 어떻게 해야 하나요?","눈으로 보고, 엑셀/노트로 오답 단어만 관리하며 반복하세요. 퀴즐렛 어플로 게임, 카드 등 다양한 방식도 병행해보세요.",영어,공통
강의는 밀려도 몰아서 들을 수 있나요?,"강의는 어느 정도 몰아서 들어도 되지만, 단어 암기는 반드시 매일 조금씩 반복해야 효과적입니다.",학습법,공통
하루 영어 단어 목표 암기량은 어느 정도가 적당한가요?,"하루 3챕터씩 2개(101, 201, 301 중 선택)를 기본으로, 무리가 되면 하루 2챕터로 조정 가능합니다.",영어,문과
몸이 아프거나 급한 일정이 생겨 공부를 못했을 때 어떻게 해야 하나요?,"컨디션이 좋지 않거나 일정이 많을 때는 최소한 단어만이라도 꼭 챙기고, 이후 진도를 따라가면 됩니다.",학습법,공통
학교/과제/시험과 병행할 때 편입 공부는 어떻게 해야 하나요?,"시험, 과제 등 바쁜 시기에는 편입 공부량을 줄이고, 단어와 인강 1강 정도만이라도 챙기는 것이 좋습니다.",학습법,공통
"편입영어 인강과 데일리테스트, 논리·문법 공부는 어떤 순서로 진행하나요?","우선 단어→논리 강의→문법 강의→데일리테스트 순으로, 매일 기본 루틴을 반복하세요.",커리큘럼,문과
공부 계획은 어떻게 세우면 좋을까요?,"하루 목표를 단어/강의/테스트 등으로 세분화하고, 가능한 만큼 지키되 융통성 있게 조정하면 좋습니다.",학습법,공통
환불을 고민할 때 관리 시스템의 장점은 무엇인가요?,"데일리테스트, 플래너, 밴드 관리, 다양한 자료 등 혼자 준비할 때보다 계획, 루틴, 실력 점검 등에서 체계적인 도움을 받을 수 있습니다.",커리큘럼,공통
"편입 영어 단어는 어떤 교재로, 어떻게 외우면 좋나요?","이과 학생은 'mvp', '보카바이블', '김신근 보카 프로파일러lv1' 단어장 등에서 표제어 위주로 1~2회독만 해도 충분합니다. 교재가 오기 전까지는 mvp와 완성편입 데일리테스트 등으로 암기를 시작하세요.",영어,이과
"영단어 암기는 하루에 얼마나, 어떻게 해야 하나요?","mvp 기준으로 하루 day4(200단어) 외우는 것이 기본이지만, 부담될 경우 day2~3으로 조정해도 괜찮습니다. 첫 회독 목표는 표제어 50% 암기이며, 2~3회독째 70~80%까지 늘려갑니다.",영어,이과
영단어 암기 시간이 너무 오래 걸리는데 완벽하게 외워야 하나요?,완벽하게 외우는 것보다 반복이 중요합니다. 시험 전까지 여러 번 회독할 수 있으니 1회독은 50%만 목표로 잡아도 충분합니다.,영어,공통
단어장이 몇 회독 정도 되어야 충분한가요?,"시험 전까지 계속 회독해야 하며, mvp 단어장 1, 2권만 제대로 외워도 단어는 어느 정도 됩니다. 상반기에 1권 확실히 외우는 게 목표입니다.",영어,이과
"영어 문법, 독해, 논리 중 어떤 순서로 인강을 들어야 하나요?","기본 실력 향상을 위해 노베탈출 강의(문법, 독해)부터 듣고, 이후 lv1(문법/독해/논리)로 넘어가는 것이 좋습니다. 교재가 오면 인강과 병행하세요.",영어,이과
하루 공부 시간과 과목별 비중은 어떻게 배분해야 하나요?,"영어:수학=4:6 비율로, 영어는 하루 최대 2시간 투자하는 것이 적절합니다. 시간은 유동적으로 조정하며, 각자 상황에 맞춰 집중 투자하세요.",학습법,이과
